PCB,,,,
PHYSICS ,CHEMISTRY ,BIOLOGY,SKILLS,COURSE
"A,B,C,D","A,B,C","A,B,C","Critical thinking, Time management, Empathy and communication",Doctor of Medicine (MD/MBBS)
"A,B,C,D","A,B,C","A,B,C","Manual dexterity, Attention to detail, Patient care and communication",Doctor of Dental Surgery (DDS)
"A,B,C,D","A,B,C","A,B,C,D","analytical and scientific knowledge, communication and councelling, attention to details",Bachelor of Pharmacy
"A,B,C,D,E","A,B,C","A,B,C,D","Technical and laboratory, analytical thinking,attention to detail and accuracy",Bachelor of Medical Laboratory Sciences
"A,B,C,D,E","A,B,C","A,B,C,D","Technical proficiency, Attention to detail, Patient care and communication",Bachelor of Science in Radiation Therapy Technology
"A,B,C,D,E","A,B,C","A,B,C,D","Manual dexterity, Technical proficiency, Patient interaction",Bachelor of Science in Prosthetic and Orthotics
"A,B,C,D,E","A,B,C","A,B,C,D","Compassion, Clinical skiils, Attention to detail",Bachelor of Science in Nursing
"A,B,C,D,E","A,B,C","A,B,C,D","analytical, knowledge of public health, communication",Bachelor of Science in Environmental Health Sciences
"A,B,C,D,E","A,B,C","A,B,C,D","Technical proficiency, Attention to detail, Patient care and communication",Medical Laboratory Sciences in Clinical Chemistry
"A,B,C,D,E","A,B,C","A,B,C,D","laboratory, Attention to detail, analytical thinking",Medical Laboratory Sciences in Hematology and Blood Transfusion
"A,B,C,D,E","A,B,C","A,B,C,D","laboratory technique, Attention to detail, analytical thinking",Medical Laboratory Sciences in Histotechnology
"A,B,C,D,E","A,B,C","A,B,C,D","laboratory technique, Attention to detail, analytical thinking",Medical Laboratory Sciences in Microbiology and Immunology
"A,B,C,D,E","A,B,C","A,B,C,D","field and laboratory technique, Attention to detail, analytical thinking",Medical Laboratory Sciences in Parasitology and Medical Entomology
"A,B,C,D,E","A,B,C","A,B,C,D","laboratory technique, Attention to detail, analytical thinking",Medical Laboratory Sciences in Medical Laboratory Sciences General
"A,B,C,D,E","A,B,C","A,B,C,D","manual therapy, patient communication, physical assessment and evaluation",Sciences in Health Laboratory and Bachelor of Science in Physiotherapy
"A,B,C","A,B,C,D,E","A,B,C,D","visual assessment and diagnosis, Technical proficiency with optical Equipment, patient communication and care",Bachelor of Science in Optometry
"A,B,C,D","A,B,C,D",,"Subject Matter Expertise, Instructional and communication",Bachelor of Science with Education
"A,B,C,D",,"A,B,C,D","Subject Matter Expertise, Instructional and communication",Bachelor of Science with Education
,"A,B,C,D","A,B,C,D","Subject Matter Expertise, Instructional and communication",Bachelor of Science with Education
"A,B,C,D",,"A,B,C,D","Engineering Design and Analysis, Project Management, Technical Problem-Solving",Bachelor of Science in Municipal and Industrial Services Engineering 
"A,B,C,D","A,B,C,D",,"Engineering Design and Analysis, Project Management, Technical Problem-Solving",Bachelor of Science in Municipal and Industrial Services Engineering 
,"A,B,C,D","A,B,C,D","Creative Design and Visualization, Technical Drawing and Drafting, Spatial Awareness",Bachelor of Architecture 
"A,B,C,D",,"A,B,C,D","Creative Design and Visualization, Technical Drawing and Drafting, Spatial Awareness",Bachelor of Architecture 
"A,B,C,D","A,B,C,D",,"Creative Design and Visualization, Technical Drawing and Drafting, Spatial Awareness",Bachelor of Architecture 
,"A,B,C,D","A,B,C,D","Environmental Design and Planning, Horticulture and Plant Knowledge, Technical Drawing and Spatial Visualization",Bachelor of Science in Landscape Architecture 
"A,B,C,D",,"A,B,C,D","Environmental Design and Planning, Horticulture and Plant Knowledge, Technical Drawing and Spatial Visualization",Bachelor of Science in Landscape Architecture 
"A,B,C,D","A,B,C,D",,"Environmental Design and Planning, Horticulture and Plant Knowledge, Technical Drawing and Spatial Visualization",Bachelor of Science in Landscape Architecture 
"A,B,C,D","A,B,C,D",,"Environmental Analysis and Assessment, Critical Thinking and Problem-Solving, Data Interpretation and Management",Bachelor of Science in Environmental Science and Management
,"A,B,C,D","A,B,C,D","Environmental Analysis and Assessment, Critical Thinking and Problem-Solving, Data Interpretation and Management",Bachelor of Science in Environmental Science and Management
,"A,B,C,D","A,B,C,D","Spatial Planning and Design, Analytical and Research Skills,Community Engagement and Communication",Bachelor of Science in Urban and Regional Planning
"A,B,C,D",,"A,B,C,D","Spatial Planning and Design, Analytical and Research Skills,Community Engagement and Communication",Bachelor of Science in Urban and Regional Planning
"A,B,C,D","A,B,C,D",,"Spatial Planning and Design, Analytical and Research Skills,Community Engagement and Communication",Bachelor of Science in Urban and Regional Planning
,"A,B,C,D","A,B,C,D","Laboratory Techniques and Procedures, Analytical and Critical Thinking, Attention to Detail",Bachelor of Science in Biotechnology and Laboratory Sciences
"A,B,C,D",,"A,B,C,D","Leadership and Management, Strategic Thinking and Decision-Making, Financial Literacy",Bachelor of Business Administration 
"A,B,C,D","A,B,C,D",,"Leadership and Management, Strategic Thinking and Decision-Making, Financial Literacy",Bachelor of Business Administration 
,"A,B,C,D","A,B,C,D","Leadership and Management, Strategic Thinking and Decision-Making, Financial Literacy",Bachelor of Business Administration 
"A,B,C,D",,"A,B,C,D","Digital Content Creation, Technical Proficiency in ICT Tools, Project Management and Organization",Bachelor of Science in ICT Mediated Content Development.
"A,B,C,D","A,B,C,D",,"Digital Content Creation, Technical Proficiency in ICT Tools, Project Management and Organization",Bachelor of Science in ICT Mediated Content Development.
,"A,B,C,D","A,B,C,D","Digital Content Creation, Technical Proficiency in ICT Tools, Project Management and Organization",Bachelor of Science in ICT Mediated Content Development.
"A,B,C,D",,"A,B,C,D","Animation and Graphic Design, Proficiency in Multimedia Software, Creative and Artistic Vision",Bachelor of Science in Multimedia Technology & Animation
"A,B,C,D","A,B,C,D",,"Animation and Graphic Design, Proficiency in Multimedia Software, Creative and Artistic Vision",Bachelor of Science in Multimedia Technology & Animation
,"A,B,C,D","A,B,C,D","Animation and Graphic Design, Proficiency in Multimedia Software, Creative and Artistic Vision",Bachelor of Science in Multimedia Technology & Animation
"A,B,C,D",,"A,B,C,D","Aquatic Biology and Ecology, Fish Farming Techniques, Water Quality Management",Bachelor of Science in Aquaculture and Aquatic Science 
,"A,B,C,D","A,B,C,D","Aquatic Biology and Ecology, Fish Farming Techniques, Water Quality Management",Bachelor of Science in Aquaculture and Aquatic Science 
"A,B,C,D","A,B,C,D",,"Environmental Analysis and Monitoring, Research and Data Analysis, Understanding of Ecological Systems",Bachelor of Science in Environmental Sciences
,"A,B,C,D","A,B,C,D","Environmental Analysis and Monitoring, Research and Data Analysis, Understanding of Ecological Systems",Bachelor of Science in Environmental Sciences
"A,B,C,D",,"A,B,C,D","Environmental Analysis and Monitoring, Research and Data Analysis, Understanding of Ecological Systems",Bachelor of Science in Environmental Sciences
,"A,B,C,D","A,B,C,D","Crop Science and Soil Management, Agricultural Research and Analysis, Field Management Techniques",Bachelor of Science Agronomy 
"A,B,C,D",,"A,B,C,D","Crop Science and Soil Management, Agricultural Research and Analysis, Field Management Techniques",Bachelor of Science Agronomy 
"A,B,C,D","A,B,C,D",,"Economic Analysis and Modeling, Agribusiness Management, Data Interpretation and Decision-Making",Bachelor of Science Agricultural Economics and Agribusiness 
,"A,B,C,D","A,B,C,D","Economic Analysis and Modeling, Agribusiness Management, Data Interpretation and Decision-Making",Bachelor of Science Agricultural Economics and Agribusiness 
"A,B,C,D",,"A,B,C,D","Economic Analysis and Modeling, Agribusiness Management, Data Interpretation and Decision-Making",Bachelor of Science Agricultural Economics and Agribusiness 
,"A,B,C,D","A,B,C,D","Crop and Soil Management, Agricultural Technology and Techniques, Farm Management and Planning",Bachelor of Science Agriculture General 
